1a|Hwæt! wē Gār-Dena
457a|"for were‐fyhtum þū,
457b|wine mīn Bēowulf,
458a|and for ār‐stafum
458b|ūsic sōhtest.
459a|Geslōh þin fæder
459b|fǣhðe mǣste,
460a|wearð hē Heaðolāfe
460b|tō hand‐bonan
461a|mid Wilfingum;
461b|þā hine Wedera cyn
462a|for here‐brōgan
462b|habban ne mihte.
463a|Þanon hē gesōhte
463b|Sūð‐Dena folc
464a|ofer ȳða gewealc,
464b|Ār‐Scyldinga;
465a|þā ic furðum wēold
465b|folce Deninga,
466a|and on geogoðe hēold
466b|gimme‐rīce
467a|hord‐burh hæleða:
467b|þā wæs Heregār dēad,
468a|mīn yldra mǣg
468b|unlifigende,
469a|bearn Healfdenes.
469b|Sē wæs betera þonne ic!
470a|Siððan þā fǣhðe
470b|fēo þingode;
471a|sende ic Wylfingum
471b|ofer wæteres hrycg
472a|ealde mādmas:
472b|hē mē āðas swōr.
473a|Sorh is mē tō secganne
473b|on sefan mīnum
474a|gumena ǣngum,
474b|hwæt mē Grendel hafað
475a|hȳnðo on Heorote
475b|mid his hete‐þancum,
476a|fǣr‐nīða gefremed.
476b|Is mīn flet‐werod,
477a|wīg‐hēap gewanod;
477b|hīe Wyrd forswēop
478a|on Grendles gryre.
478b|God ēaðe mæg
479a|þone dol‐scaðan
479b|dǣda getwǣfan!
480a|Ful oft gebēotedon
480b|bēore druncne
481a|ofer ealo‐wǣge
481b|ōret‐mecgas,
482a|þæt hīe in bēor‐sele
482b|bīdan woldon
483a|Grendles gūðe
483b|mid gryrum ecga.
484a|Þonne wæs þēos medo‐heal
484b|on morgen‐tīd,
485a|driht‐sele drēor‐fāh,
485b|þonne dæg līxte,
486a|eal benc‐þelu
486b|blōde bestȳmed,
487a|heall heoru‐drēore:
487b|āhte ic holdra þȳ lǣs,
488a|dēorre duguðe,
488b|þē þā dēað fornam.
489a|Site nū tō symle
489b|and onsǣl meoto,
490a|sige‐hrēð secgum,
490b|swā þīn sefa hwette!"
491a|Þā wæs Gēat‐mæcgum
491b|geador ætsomne
492a|on bēor‐sele
492b|benc gerȳmed;
493a|þǣr swīð‐ferhðe
493b|sittan ēodon
494a|þrȳðum dealle.
494b|Þegn nytte behēold,
495a|sē þe on handa bær
495b|hroden ealo‐wǣge,
496a|scencte scīr wered.
496b|Scop hwīlum sang
497a|hādor on Heorote;
497b|þǣr wæs hæleða drēam,
498a|duguð unlȳtel
498b|Dena and Wedera.
499a|Unferð maðelode,
499b|Ecglāfes bearn,
500a|þē æt fōtum sæt
500b|frēan Scyldinga;
501a|onband beadu‐rūne
501b|(wæs him Bēowulfes sīð,
502a|mōdges mere‐faran,
502b|micel æf‐þunca,
503a|forþon þe hē ne ūðe,
503b|þæt ǣnig ōðer man
504a|ǣfre mǣrða þon mā
504b|middan‐geardes
505a|gehēdde under heofenum
505b|þonne hē sylfa):
506a|"Eart þū sē Bēowulf,
506b|sē þe wið Brecan wunne,
507a|on sīdne sǣ
507b|ymb sund flite,
508a|þǣr git for wlence
508b|wada cunnedon
509a|and for dol‐gilpe
509b|on dēop wæter
510a|aldrum nēðdon?
510b|Nē inc ǣnig mon,
511a|nē lēof nē lāð,
511b|belēan mihte
512a|sorh‐fullne sīð;
512b|þā git on sund rēon,
513a|þǣr git ēagor‐strēam
513b|earmum þehton,
514a|mǣton mere‐strǣta,
514b|mundum brugdon,
515a|glidon ofer gār‐secg;
515b|geofon ȳðum wēol,
516a|wintres wylme.
516b|Git on wæteres ǣht
517a|seofon niht swuncon;
517b|hē þē æt sunde oferflāt,
518a|hæfde māre mægen.
518b|Þā hine on morgen‐tīd
519a|on Heaðo‐rǣmas
519b|holm up ætbær,
520a|þonon hē gesōhte
520b|swǣsne ēðel
521a|lēof his lēodum
521b|lond Brondinga,
522a|freoðo‐burh fægere,
522b|þǣr hē folc āhte,
523a|burg and bēagas.
523b|Bēot eal wið þē
524a|sunu Bēanstānes
524b|sōðe gelǣste.
525a|Þonne wēne ic tō þē
525b|wyrsan geþinges,
526a|þēah þū heaðo‐rǣsa
526b|gehwǣr dohte,
527a|grimre gūðe,
527b|gif þū Grendles dearst
528a|niht‐longne fyrst
528b|nēan bīdan!"
529a|Bēowulf maðelode,
529b|bearn Ecgþēowes:
530a|"Hwæt! þū worn fela,
530b|wine mīn Unferð,
531a|bēore druncen
531b|ymb Brecan sprǣce,
532a|sægdest from his sīðe!
532b|Sōð ic talige,
533a|þæt ic mere‐strengo
533b|māran āhte,
534a|earfeðo on ȳðum,
534b|þonne ǣnig ōðer man.
535a|Wit þæt gecwǣdon
535b|cniht‐wesende
536a|and gebēotedon
536b|(wǣron bēgen þā gīt
537a|on geogoð‐feore)
537b|þæt wit on gār‐secg ūt
538a|aldrum nēðdon;
538b|and þæt geæfndon swā.
539a|Hæfdon swurd nacod,
539b|þā wit on sund rēon,
540a|heard on handa,
540b|wit unc wið hron‐fixas
541a|werian þōhton.
541b|Nō hē wiht fram mē
542a|flōd‐ȳðum feor
542b|flēotan meahte,
543a|hraðor on holme,
543b|nō ic fram him wolde.
544a|Þā wit ætsomne
544b|on sǣ wǣron
545a|fīf nihta fyrst,
545b|oð þæt unc flōd tōdrāf,
546a|wado weallende,
546b|wedera cealdost,
547a|nīpende niht
547b|and norðan wind
548a|heaðo‐grim andhwearf;
548b|hrēo wǣron ȳða,
549a|Wæs mere‐fixa
549b|mōd onhrēred:
550a|þǣr mē wið lāðum
550b|līc‐syrce mīn,
551a|heard hond‐locen,
551b|helpe gefremede;
552a|beado‐hrægl brōden
552b|on brēostum læg,
553a|golde gegyrwed.
553b|Mē tō grunde tēah
554a|fāh fēond‐scaða,
554b|fæste hæfde
555a|grim on grāpe:
555b|hwæðre mē gyfeðe wearð,
556a|þæt ic āglǣcan
556b|orde gerǣhte,
557a|hilde‐bille;
557b|heaðo‐rǣs fornam
558a|mihtig mere‐dēor
558b|þurh mīne hand.
559a|Swā mec gelōme
559b|lāð‐getēonan
560a|þrēatedon þearle.
560b|Ic him þēnode
561a|dēoran sweorde,
561b|swā hit gedēfe wæs;
562a|næs hīe þǣre fylle
562b|gefēan hæfdon,
563a|mān‐fordǣdlan,
563b|þæt hīe mē þēgon,
564a|symbel ymb‐sǣton
564b|sǣ‐grunde nēah,
565a|ac on mergenne
565b|mēcum wunde
566a|be ȳð‐lāfe
566b|uppe lǣgon,
567a|sweordum āswefede,
567b|þæt syððan nā
568a|ymb brontne ford
568b|brim‐līðende
569a|lāde ne letton.
569b|Lēoht ēastan cōm,
570a|beorht bēacen godes;
570b|brimu swaðredon,
571a|þæt ic sǣ‐næssas
571b|gesēon mihte,
572a|windige weallas.
572b|Wyrd oft nereð
573a|unfǣgne eorl,
573b|ðonne his ellen dēah!
574a|Hwæðere mē gesǣlde,
574b|þæt ic mid sweorde ofslōh
575a|niceras nigene.
575b|Nō ic on niht gefrægn
576a|under heofones hwealf
576b|heardran feohtan,
577a|nē on ēg‐strēamum
577b|earmran mannan;
578a|hwæðere ic fāra feng
578b|fēore gedīgde,
579a|siðes wērig.
579b|Þā mec sǣ oðbær,
580a|flōd æfter faroðe,
580b|on Finna land,
581a|wadu weallendu.
581b|Nō ic wiht fram þē
582a|swylcra searo‐nīða
582b|secgan hȳrde,
583a|billa brōgan:
583b|Breca nǣfre gīt
584a|æt heaðo‐lāce,
584b|nē gehwæðer incer
585a|swā dēorlīce
585b|dǣd gefremede
586a|fāgum sweordum
586b|nō ic þæs gylpe;
587a|þēah þū þīnum brōðrum
587b|tō banan wurde,
588a|hēafod‐mǣgum;
588b|þæs þū in helle scealt
589a|werhðo drēogan,
589b|þēah þīn wit duge,
590a|Secge ic þē tō sōðe,
590b|sunu Ecglāfes,
591a|þæt nǣfre Grendel swā fela
591b|gryra gefremede,
592a|atol ǣglǣca
592b|ealdre þīnum,
593a|hȳnðo on Heorote,
593b|gif þīn hige wǣre,
594a|sefa swā searo‐grim,
594b|swā þū self talast.
595a|Ac hē hafað onfunden,
595b|þæt hē þā fǣhðe ne þearf,
596a|atole ecg‐þræce
596b|ēower lēode
597a|swīðe onsittan,
597b|Sige‐Scyldinga;
598a|nymeð nȳd‐bāde,
598b|nǣnegum ārað
599a|lēode Deniga,
599b|ac hē on lust wīgeð,
600a|swefeð ond sendeð,
600b|secce ne wēneð
601a|tō Gār‐Denum.
601b|Ac him Gēata sceal
602a|eafoð and ellen
602b|ungeāra nū
603a|gūðe gebēodan.
603b|Gǣð eft sē þe mōt
604a|tō medo mōdig,
604b|siððan morgen‐lēoht
605a|ofer ylda bearn
605b|ōðres dōgores,
606a|sunne swegl‐wered
606b|sūðan scīneð!"
607a|Þā wæs on sālum
607b|sinces brytta
608a|gamol‐feax and gūð‐rōf,
608b|gēoce gelȳfde
609a|brego Beorht‐Dena;
609b|gehȳrde on Bēowulfe
610a|folces hyrde
610b|fæst‐rǣdne geþōht.
611a|Þǣr wæs hæleða hleahtor;
611b|hlyn swynsode,
612a|word wǣron wynsume.
612b|Ēode Wealhþēow forð,
613a|cwēn Hrōðgāres,
613b|cynna gemyndig,
614a|grētte gold‐hroden
614b|guman on healle,
615a|and þā frēolīc wīf
615b|ful gesealde
616a|ǣrest Ēast‐Dena
616b|ēðel‐wearde,
617a|bæd hine blīðne
617b|æt þǣre bēor‐þege,
618a|lēodum lēofne;
618b|hē on lust geþeah
619a|symbel and sele‐ful,
619b|sige‐rōf kyning.
620a|Ymb‐ēode þā
620b|ides Helminga
621a|duguðe and geogoðe
621b|dǣl ǣghwylcne;
622a|sinc‐fato sealde,
622b|oð þæt sǣl ālamp,
623a|þæt hīo Bēowulfe,
623b|bēag‐hroden cwēn,
624a|mōde geþungen,
624b|medo‐ful ætbær;
625a|grētte Gēata lēod,
625b|gode þancode
626a|wīs‐fæst wordum,
626b|þæs þe hire se willa gelamp,
627a|þæt hēo on ǣnigne
627b|eorl gelȳfde
628a|fyrena frōfre.
628b|Hē þæt ful geþeah,
629a|wæl‐rēow wiga
629b|æt Wealhþēon,
630a|and þā gyddode
630b|gūðe gefȳsed,
631a|Bēowulf maðelode,
631b|bearn Ecgþēowes:
632a|"Ic þæt hogode,
632b|þā ic on holm gestāh,
633a|sǣ‐bāt gesæt
633b|mid mīnra secga gedriht,
634a|þæt ic ānunga
634b|ēowra lēoda
635a|willan geworhte,
635b|oððe on wæl crunge,
636a|fēond‐grāpum fæst.
636b|Ic gefremman sceal
637a|eorlīc ellen,
637b|oððe ende‐dæg
638a|on þisse meodu‐healle
638b|mīnne gebīdan."
639a|Þām wīfe þā word
639b|wēl līcodon,
640a|gilp‐cwide Gēates;
640b|ēode gold‐hroden
641a|frēolīcu folc‐cwēn
641b|tō hire frēan sittan.
642a|Þā wæs eft swā ǣr
642b|inne on healle
643a|þrȳð‐word sprecen,
643b|þēod on sǣlum,
644a|sige‐folca swēg,
644b|oð þæt semninga
645a|sunu Healfdenes
645b|sēcean wolde
646a|ǣfen‐ræste;
646b|wiste æt þǣm āhlǣcan
647a|tō þǣm hēah‐sele
647b|hilde geþinged,
648a|siððan hīe sunnan lēoht
648b|gesēon ne meahton,
649a|oððe nīpende
649b|niht ofer ealle,
650a|scadu‐helma gesceapu
650b|scrīðan cwōman,
651a|wan under wolcnum.
651b|Werod eall ārās.
652a|Grētte þā giddum
652b|guma ōðerne,
653a|Hrōðgār Bēowulf,
653b|and him hǣl ābēad,
654a|wīn‐ærnes geweald
654b|and þæt word ācwæð:
655a|"Nǣfre ic ǣnegum men
655b|ǣr ālȳfde,
656a|siððan ic hond and rond
656b|hebban mihte,
657a|þrȳð‐ærn Dena
657b|būton þē nū þā.
658a|Hafa nū and geheald
658b|hūsa sēlest;
659a|gemyne mǣrðo,
659b|mægen‐ellen cȳð,
660a|waca wið wrāðum!
660b|Ne bið þē wilna gād,
661a|gif þū þæt ellen‐weorc
661b|aldre gedīgest."
662a|Þā him Hrōðgār gewāt
662b|mid his hæleða gedryht,
663a|eodur Scyldinga
663b|ūt of healle;
664a|wolde wīg‐fruma
664b|Wealhþēo sēcan,
665a|cwēn tō gebeddan
665b|Hæfde kyninga wuldor
666a|Grendle tō‐gēanes,
666b|swā guman gefrungon,
667a|sele‐weard āseted,
667b|sundor‐nytte behēold
668a|ymb aldor Dena,
668b|eoton weard ābēad;
669a|hūru Gēata lēod
669b|georne truwode
670a|mōdgan mægnes,
670b|metodes hyldo.
671a|Þā hē him of dyde
671b|īsern‐byrnan,
672a|helm of hafelan,
672b|sealde his hyrsted sweord,
673a|īrena cyst
673b|ombiht‐þegne,
674a|and gehealdan hēt
674b|hilde‐geatwe.
675a|Gespræc þā se gōda
675b|gylp‐worda sum
676a|Bēowulf Gēata,
676b|ǣr hē on bed stige:
677a|"Nō ic mē an here‐wǣsmum
677b|hnāgran talige
678a|gūð‐geweorca,
678b|þonne Grendel hine;
679a|forþan ic hine sweorde
679b|swebban nelle,
680a|aldre benēotan,
680b|þēah ic eal mǣge.
681a|Nāt hē þāra gōda,
681b|þæt hē mē on‐gēan slēa,
682a|rand gehēawe,
682b|þēah þe hē rōf sīe
683a|nīð‐geweorca;
683b|ac wit on niht sculon
684a|secge ofersittan,
684b|gif hē gesēcean dear
685a|wīg ofer wǣpen,
685b|and siððan wītig god
686a|on swā hwæðere hond
686b|hālig dryhten
687a|mǣrðo dēme,
687b|swā him gemet þince."
688a|Hylde hine þā heaðo‐dēor,
688b|hlēor‐bolster onfēng
689a|eorles andwlitan;
689b|and hine ymb monig
690a|snellīc sǣ‐rinc
690b|sele‐reste gebēah.
691a|Nǣnig heora þōhte
691b|þæt hē þanon scolde
692a|eft eard‐lufan
692b|ǣfre gesēcean,
693a|folc oððe frēo‐burh,
693b|þǣr hē āfēded wæs,
694a|ac hīe hæfdon gefrūnen,
694b|þæt hīe ǣr tō fela micles
695a|in þǣm wīn‐sele
695b|wæl‐dēað fornam,
696a|Denigea lēode.
696b|Ac him dryhten forgeaf
697a|wīg‐spēda gewiofu,
697b|Wedera lēodum
698a|frōfor and fultum,
698b|þæt hīe fēond heora
699a|þurh ānes cræft
699b|ealle ofercōmon,
700a|selfes mihtum:
700b|sōð is gecȳðed,
701a|þæt mihtig god
701b|manna cynnes
702a|wēold wīde‐ferhð.
702b|Cōm on wanre niht
703a|scrīðan sceadu‐genga.
703b|Scēotend swǣfon,
704a|þā þæt horn‐reced
704b|healdan scoldon,
705a|ealle būton ānum.
705b|Þæt wæs yldum cūð,
706a|þæt hīe ne mōste,
706b|þā metod nolde,
707a|se syn‐scaða
707b|under sceadu bregdan;
708a|ac hē wæccende
708b|wrāðum on andan
709a|bād bolgen‐mōd
709b|beadwa geþinges.
710a|Þā cōm of mōre
710b|under mist‐hleoðum
711a|Grendel gongan,
711b|godes yrre bær.
712a|Mynte se mān‐scaða
712b|manna cynnes
713a|sumne besyrwan
713b|in sele þām hēan;
714a|wōd under wolcnum,
714b|tō þæs þe hē wīn‐reced,
715a|gold‐sele gumena,
715b|gearwost wisse
716a|fǣttum fāhne.
716b|Ne wæs þæt forma sīð,
717a|þæt hē Hrōðgāres
717b|hām gesōhte:
718a|nǣfre hē on aldor‐dagum
718b|ǣr nē siððan
719a|heardran hæle,
719b|heal‐þegnas fand!
720a|Cōm þā tō recede
720b|rinc sīðian
721a|drēamum bedǣled.
721b|Duru sōna onarn
722a|fȳr‐bendum fæst,
722b|syððan hē hire folmum hrān;
723a|onbræd þā bealo‐hȳdig,
723b|þā hē ābolgen wæs,
724a|recedes mūðan.
724b|Raðe æfter þon
725a|on fāgne flōr
725b|fēond treddode,
726a|ēode yrre‐mōd;
726b|him of ēagum stōd
727a|līge gelīcost
727b|lēoht unfǣger.
728a|Geseah hē in recede
728b|rinca manige,
729a|swefan sibbe‐gedriht
729b|samod ætgædere,
730a|mago‐rinca hēap:
730b|þā his mōd āhlōg,
731a|mynte þæt hē gedǣlde,
731b|ǣr þon dæg cwōme,
732a|atol āglǣca,
732b|ānra gehwylces
733a|līf wið līce,
733b|þā him ālumpen wæs
734a|wist‐fylle wēn.
734b|Ne wæs þæt wyrd þā gēn,
735a|þæt hē mā mōste
735b|manna cynnes
736a|þicgean ofer þā niht.
736b|Þrȳð‐swȳð behēold
737a|mǣg Higelāces,
737b|hū se mān‐scaða
738a|under fǣr‐gripum
738b|gefaran wolde.
739a|Nē þæt se āglǣca
739b|yldan þōhte,
740a|ac hē gefēng hraðe
740b|forman siðe
741a|slǣpendne rinc,
741b|slāt unwearnum,
742a|bāt bān‐locan,
742b|blōd ēdrum dranc,
743a|syn‐snǣdum swealh:
743b|sōna hæfde
744a|unlyfigendes
744b|eal gefeormod
745a|fēt and folma.
745b|Forð nēar ætstōp,
746a|nam þā mid handa
746b|hige‐þīhtigne
747a|rinc on ræste;
747b|rǣhte ongēan
748a|fēond mid folme,
748b|hē onfēng hraðe
749a|inwit‐þancum
749b|and wið earm gesæt.
750a|Sōna þæt onfunde
750b|fyrena hyrde,
751a|þæt hē ne mētte
751b|middan‐geardes
752a|eorðan scēata
752b|on elran men
753a|mund‐gripe māran:
753b|hē on mōde wearð
754a|forht on ferhðe,
754b|nō þȳ ǣr fram meahte;
755a|hyge wæs him hin‐fūs,
755b|wolde on heolster flēon,
756a|sēcan dēofla gedræg:
756b|ne wæs his drohtoð þǣr,
757a|swylce hē on ealder‐dagum
757b|ǣr gemētte.
758a|Gemunde þā se gōda
758b|mǣg Higelāces
759a|ǣfen‐sprǣce,
759b|up‐lang āstōd
760a|and him fæste wiðfēng.
760b|Fingras burston;
761a|eoten wæs ūt‐weard,
761b|eorl furður stōp.
762a|Mynte se mǣra,
762b|þǣr hē meahte swā,
763a|wīdre gewindan
763b|and on weg þanon
764a|flēon on fen‐hopu;
764b|wiste his fingra geweald
765a|on grames grāpum.
765b|Þæt wæs gēocor sīð,
766a|þæt se hearm‐scaða
766b|tō Heorute ātēah:
767a|dryht‐sele dynede,
767b|Denum eallum wearð,
768a|ceaster‐būendum,
768b|cēnra gehwylcum,
769a|eorlum ealu‐scerwen.
769b|Yrre wǣron bēgen,
770a|rēðe rēn‐weardas.
770b|Reced hlynsode;
771a|þā wæs wundor micel,
771b|þæt se wīn‐sele
772a|wiðhæfde heaðo‐dēorum,
772b|þæt hē on hrūsan ne fēol,
773a|fǣger fold‐bold;
773b|ac hē þæs fæste wæs
774a|innan and ūtan
774b|īren‐bendum
775a|searo‐þoncum besmiðod.
775b|Þǣr fram sylle ābēag
776a|medu‐benc monig
776b|mīne gefrǣge,
777a|golde geregnad,
777b|þǣr þā graman wunnon;
778a|þæs ne wēndon ǣr
778b|witan Scyldinga,
779a|þæt hit ā mid gemete
779b|manna ǣnig
780a|betlīc and bān‐fāg
780b|tōbrecan meahte,
781a|listum tōlūcan,
781b|nymðe līges fæðm
782a|swulge on swaðule.
782b|Swēg up āstāg
783a|nīwe geneahhe;
783b|Norð‐Denum stōd
784a|atelīc egesa
784b|ānra gehwylcum
785a|þāra þe of wealle
785b|wōp gehȳrdon,
786a|gryre‐lēoð galan
786b|godes andsacan,
787a|sige‐lēasne sang,
787b|sār wānigean
788a|helle hæftan.
788b|Hēold hine tō fæste
789a|sē þe manna wæs
789b|mægene strengest
790a|on þǣm dæge
790b|þysses līfes.
791a|Nolde eorla hlēo
791b|ǣnige þinga
792a|þone cwealm‐cuman
792b|cwicne forlǣtan,
793a|nē his līf‐dagas
793b|lēoda ǣnigum
794a|nytte tealde.
794b|Þǣr genehost brægd
795a|eorl Bēowulfes
795b|ealde lāfe,
796a|wolde frēa‐drihtnes
796b|feorh ealgian
797a|mǣres þēodnes,
797b|þǣr hīe meahton swā;
798a|hīe þæt ne wiston,
798b|þā hīe gewin drugon,
799a|heard‐hicgende
799b|hilde‐mecgas,
800a|and on healfa gehwone
800b|hēawan þōhton,
801a|sāwle sēcan,
801b|þæt þone syn‐scaðan
802a|ǣnig ofer eorðan
802b|īrenna cyst,
803a|gūð‐billa nān
803b|grētan nolde;
804a|ac hē sige‐wǣpnum
804b|forsworen hæfde,
805a|ecga gehwylcre.
805b|Scolde his aldor‐gedāl
806a|on þǣm dæge
806b|þysses līfes
807a|earmlīc wurðan
807b|and se ellor‐gāst
808a|on fēonda geweald
808b|feor sīðian.
809a|Þā þæt onfunde
809b|sē þe fela ǣror
810a|mōdes myrðe
810b|manna cynne
811a|fyrene gefremede
811b|(hē wæs fāg wið god)
812a|þæt him se līc‐homa
812b|lǣstan nolde,
813a|ac hine se mōdega
813b|mǣg Hygelāces
814a|hæfde be honda;
814b|wæs gehwæðer ōðrum
815a|lifigende lāð.
815b|Līc‐sār gebād
816a|atol ǣglǣca,
816b|him on eaxle wearð
817a|syn‐dolh sweotol,
817b|seonowe onsprungon
818a|burston bān‐locan.
818b|Bēowulfe wearð
819a|gūð‐hrēð gyfeðe;
819b|scolde Grendel þonan
820a|feorh‐sēoc flēon
820b|under fen‐hleoðu,
821a|sēcean wyn‐lēas wīc;
821b|wiste þē geornor,
822a|þæt his aldres wæs
822b|ende gegongen,
823a|dōgera dæg‐rīm.
823b|Denum eallum wearð
824a|æfter þām wæl‐rǣse
824b|willa gelumpen.
825a|Hæfde þā gefǣlsod,
825b|sē þe ǣr feorran cōm,
826a|snotor and swȳð‐ferhð
826b|sele Hrōðgāres,
827a|genered wið nīðe.
827b|Niht‐weorce gefeh,
828a|ellen‐mǣrðum;
828b|hæfde Ēast‐Denum
829a|Gēat‐mecga lēod
829b|gilp gelǣsted,
830a|swylce oncȳððe
830b|ealle gebētte,
831a|inwid‐sorge,
831b|þē hīe ǣr drugon
832a|and for þrēa‐nȳdum
832b|þolian scoldon,
833a|torn unlȳtel.
833b|Þæt wæs tācen sweotol,
834a|syððan hilde‐dēor
834b|hond ālegde,
835a|earm and eaxle
835b|(þǣr wæs eal geador
836a|Grendles grāpe)
836b|under gēapne hrōf.
837a|Þā wæs on morgen
837b|mīne gefrǣge
838a|ymb þā gif‐healle
838b|gūð‐rinc monig:
839a|fērdon folc‐togan
839b|feorran and nēan
840a|geond wīd‐wegas
840b|wundor scēawian,
841a|lāðes lāstas.
841b|Nō his līf‐gedāl
842a|sārlīc þūhte
842b|secga ǣnegum,
843a|þāra þe tīr‐lēases
843b|trode scēawode,
844a|hū hē wērig‐mōd
844b|on weg þanon,
845a|nīða ofercumen,
845b|on nicera mere
846a|fǣge and geflȳmed
846b|feorh‐lāstas bær.
847a|Þǣr wæs on blōde
847b|brim weallende,
848a|atol ȳða geswing
848b|eal gemenged
849a|hātan heolfre,
849b|heoro‐drēore wēol;
850a|dēað‐fǣge dēog,
850b|siððan drēama lēas
851a|in fen‐freoðo
851b|feorh ālegde
852a|hǣðene sāwle,
852b|þǣr him hel onfēng.
853a|Þanon eft gewiton
853b|eald‐gesīðas,
854a|swylce geong manig
854b|of gomen‐wāðe,
855a|fram mere mōdge,
855b|mēarum rīdan,
856a|beornas on blancum.
856b|Þǣr wæs Bēowulfes
857a|mǣrðo mǣned;
857b|monig oft gecwæð,
858a|þætte sūð nē norð
858b|be sǣm tweonum
859a|ofer eormen‐grund
859b|ōðer nǣnig
860a|under swegles begong
860b|sēlra nǣre
861a|rond‐hæbbendra,
861b|rīces wyrðra.
862a|Nē hīe hūru wine‐drihten
862b|wiht ne lōgon,
863a|glædne Hrōðgār,
863b|ac þæt wæs gōd cyning.
864a|Hwīlum heaðo‐rōfe
864b|hlēapan lēton,
865a|on geflīt faran
865b|fealwe mēaras,
866a|þǣr him fold‐wegas
866b|fægere þūhton,
867a|cystum cūðe;
867b|hwīlum cyninges þegn,
868a|guma gilp‐hlæden
868b|gidda gemyndig,
869a|sē þe eal‐fela
869b|eald‐gesegena
870a|worn gemunde,
870b|word ōðer fand
871a|sōðe gebunden:
871b|secg eft ongan
872a|sīð Bēowulfes
872b|snyttrum styrian
873a|and on spēd wrecan
873b|spel gerāde,
874a|wordum wrixlan,
874b|wēl‐hwylc gecwæð,
875a|þæt hē fram Sigemunde
875b|secgan hȳrde,
876a|ellen‐dǣdum,
876b|uncūðes fela,
877a|Wælsinges gewin,
877b|wīde sīðas,
878a|þāra þe gumena bearn
878b|gearwe ne wiston,
879a|fǣhðe and fyrene,
879b|būton Fitela mid hine,
880a|þonne hē swylces hwæt
880b|secgan wolde
881a|ēam his nefan,
881b|swā hīe ā wǣron
882a|æt nīða gehwām
882b|nȳd‐gesteallan:
883a|hæfdon eal‐fela
883b|eotena cynnes
884a|sweordum gesǣged.
884b|Sigemunde gesprong
885a|æfter dēað‐dæge
885b|dōm unlȳtel,
886a|syððan wīges heard
886b|wyrm ācwealde,
887a|hordes hyrde;
887b|hē under hārne stān,
888a|æðelinges bearn,
888b|āna genēðde
889a|frēcne dǣde;
889b|ne wæs him Fitela mid.
890a|Hwæðre him gesǣlde,
890b|þæt þæt swurd þurhwōd
891a|wrǣtlīcne wyrm,
891b|þæt hit on wealle ætstōd,
892a|dryhtlīc īren;
892b|draca morðre swealt.
893a|Hæfde āglǣca
893b|elne gegongen,
894a|þæt hē bēah‐hordes
894b|brūcan mōste
895a|selfes dōme:
895b|sǣ‐bāt gehlōd,
896a|bær on bearm scipes
896b|beorhte frætwa,
897a|Wælses eafera;
897b|wyrm hāt gemealt.
898a|Sē wæs wreccena
898b|wīde mǣrost
899a|ofer wer‐þēode,
899b|wīgendra hlēo
900a|ellen‐dǣdum:
900b|hē þæs āron þāh.
901a|Siððan Heremōdes
901b|hild sweðrode
902a|eafoð and ellen.
902b|Hē mid eotenum wearð
903a|on fēonda geweald
903b|forð forlācen,
904a|snūde forsended.
904b|Hine sorh‐wylmas
905a|lemede tō lange,
905b|hē his lēodum wearð,
906a|eallum æðelingum
906b|tō aldor‐ceare;
907a|swylce oft bemearn
907b|ǣrran mǣlum
908a|swīð‐ferhðes sīð
908b|snotor ceorl monig,
909a|sē þe him bealwa tō
909b|bōte gelȳfde,
910a|þæt þæt þēodnes bearn
910b|geþēon scolde,
911a|fæder‐æðelum onfōn,
911b|folc gehealdan,
912a|hord and hlēo‐burh,
912b|hæleða rīce,
913a|ēðel Scyldinga.
913b|Hē þǣr eallum wearð,
914a|mǣg Higelāces
914b|manna cynne,
915a|frēondum gefægra;
915b|hine fyren onwōd.
916a|Hwīlum flītende
916b|fealwe strǣte
917a|mēarum mǣton.
917b|Þā wæs morgen‐lēoht
918a|scofen and scynded.
918b|Ēode scealc monig
919a|swīð‐hicgende
919b|tō sele þām hēan,
920a|searo‐wundor sēon,
920b|swylce self cyning,
921a|of brȳd‐būre
921b|bēah‐horda weard,
922a|tryddode tīr‐fæst
922b|getrume micle,
923a|cystum gecȳðed,
923b|and his cwēn mid him
924a|medo‐stīg gemæt
924b|mægða hōse.
925a|Hrōðgār maðelode
925b|(hē tō healle gēong,
926a|stōd on stapole,
926b|geseah stēapne hrōf
927a|golde fāhne
927b|and Grendles hond):
